Postal Code,Neighbourhoods,Population,Population density,Latitude,Longitude
100283,Agege,1415547,60768.47,6.61983,3.322165
102103,Ajeromi Ifelodun,1966700,103258.63,6.45548,3.33386
100275,Alimosho,2804919,14855.05,6.610556,3.29583
102102,Amuwo Odofin,719337,2931.16,6.45,3.266667
102241,Apapa,715792,13568.42,6.449998,3.366665
103101,Badagry,521267,858.74,6.416665,2.8833
106101,Epe,443457,335.37,6.58333,3.983329
101233,Eti Osa,1347653,3288.25,6.458985,3.601521
105101,Ibeju-Lekki,136394,152.43,6.496267,3.596457
100311,Ifako Ijaiye,1019902,17309.84,6.684722,3.288889
100282,Ikeja,888903,12995.19,6.605874,3.349149
104211,Ikorodu,944158,1997.23,6.616865,3.508072
105102,Kosofe,1280646,11073.63,6.561638,3.384247
101223,Lagos Island,1178200,92856.26,6.4499982,3.3999984
100001,Lagos Mainland,862524,32083.03,6.50837,3.384247
100253,Mushin,1810797,94058.15,6.5333312,3.3499986
102101,Ojo,1290113,5173.2,6.4666648,3.1833326
101224,Oshodi,1554604,27025.92,6.514193,3.308678
100231,Shomolu,1404666,70213.9,6.465422,3.406448
101283,Surulere,1746183,47111.35,6.499998,3.3499986
